name,bye,price
"Saquon Barkley (RB - NYG)          ","11  ","$62 "
"Christian McCaffrey (RB - CAR)     ","7   ","$59 "
"Alvin Kamara (RB - NO)             ","9   ","$59 "
"DeAndre Hopkins (WR - HOU)         ","10  ","$46 "
"David Johnson (RB - ARI)           ","12  ","$45 "
"Davante Adams (WR - GB)            ","11  ","$44 "
"Ezekiel Elliott (RB - DAL)         ","8   ","$42 "
"Julio Jones (WR - ATL)             ","9   ","$41 "
"James Conner (RB - PIT)            ","7   ","$41 "
"Nick Chubb (RB - CLE)              ","7   ","$41 "
"Michael Thomas (WR - NO)           ","9   ","$41 "
"Le'Veon Bell (RB - NYJ)            ","4   ","$40 "
"Odell Beckham Jr. (WR - CLE)       ","7   ","$39 "
"JuJu Smith-Schuster (WR - PIT)     ","7   ","$37 "
"Tyreek Hill (WR - KC)              ","12  ","$36 "
"Dalvin Cook (RB - MIN)             ","12  ","$36 "
"Joe Mixon (RB - CIN)               ","9   ","$36 "
"Todd Gurley (RB - LAR)             ","9   ","$35 "
"Mike Evans (WR - TB)               ","7   ","$35 "
"Travis Kelce (TE - KC)             ","12  ","$34 "
"Keenan Allen (WR - LAC)            ","12  ","$33 "
"Antonio Brown (WR - OAK)           ","6   ","$32 "
"Kerryon Johnson (RB - DET)         ","5   ","$31 "
"Adam Thielen (WR - MIN)            ","12  ","$31 "
"Stefon Diggs (WR - MIN)            ","12  ","$31 "
"Amari Cooper (WR - DAL)            ","8   ","$31 "
"George Kittle (TE - SF)            ","4   ","$30 "
"Damien Williams (RB - KC)          ","12  ","$30 "
"Aaron Jones (RB - GB)              ","11  ","$30 "
"Leonard Fournette (RB - JAC)       ","10  ","$29 "
"Zach Ertz (TE - PHI)               ","10  ","$28 "
"T.Y. Hilton (WR - IND)             ","6   ","$27 "
"Patrick Mahomes (QB - KC)          ","12  ","$27 "
"Devonta Freeman (RB - ATL)         ","9   ","$27 "
"Brandin Cooks (WR - LAR)           ","9   ","$26 "
"Robert Woods (WR - LAR)            ","9   ","$25 "
"Julian Edelman (WR - NE)           ","10  ","$25 "
"Marlon Mack (RB - IND)             ","6   ","$25 "
"Chris Godwin (WR - TB)             ","7   ","$25 "
"Chris Carson (RB - SEA)            ","11  ","$24 "
"Melvin Gordon (RB - LAC)           ","12  ","$24 "
"Kenny Golladay (WR - DET)          ","5   ","$24 "
"Josh Jacobs (RB - OAK)             ","6   ","$22 "
"Derrick Henry (RB - TEN)           ","11  ","$22 "
"Tyler Lockett (WR - SEA)           ","11  ","$21 "
